PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40634526,The role of intestinal microbiota in the humoral response to SARS-CoV-2 after mRNA-1273 vaccination.,2025,Abel Garcia-Diaz; Antonio José Cabrera-Serrano; Juan Sainz,"Instituto de Investigación Biosanitaria de Granada (ibs.GRANADA), 18012, Granada, Spain.; Instituto de Investigación Biosanitaria de Granada (ibs.GRANADA), 18012, Granada, Spain.; Instituto de Investigación Biosanitaria de Granada (ibs.GRANADA), 18012, Granada, Spain.",
40632736,Forecasting high-risk areas for dengue outbreaks in China: A trend analysis of Aedes albopictus and Aedes aegypti distributions from 2014 to 2030.,2025,Qi Chen; Xuhua Guan,"Hubei Provincial Center for Disease Control and Prevention, Wuhan, China.; Hubei Provincial Center for Disease Control and Prevention, Wuhan, China.",
40632654,Structural serology of polyclonal antibody responses to mRNA-1273 and NVX-CoV2373 COVID-19 vaccines.,2025,Sandhya Bangaru; Abigail M Jackson; Jeffrey Copps; Monica L Fernández-Quintero; Jonathan L Torres; Sara T Richey; Bartek Nogal; Leigh M Sewall; Alba Torrents de la Peña; Asma Rehman; Mimi Guebre-Xabier; Bethany Girard; Rituparna Das; Darin K Edwards; Nita Patel; Gale Smith; Andrew B Ward,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.; Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.; Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.; Moderna, Inc., Cambridge, MA 02142, USA.; Moderna, Inc., Cambridge, MA 02142, USA.; Moderna, Inc., Cambridge, MA 02142, USA.; Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.; Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.; Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA. Electronic address: andrew@scripps.edu.",andrew@scripps.edu
40631700,Dynamics of Crossed Acquired Immunity Against SARS-CoV-2 Variants: From Vaccine to Hybrid Immunity in China.,2025,Bihao Wu; Rui Gong,"CAS Key Laboratory of Special Pathogens and Biosafety, Wuhan Institute of Virology, Center for Biosafety Mega-Science, Chinese Academy of Sciences, Wuhan, Hubei, China.; CAS Key Laboratory of Special Pathogens and Biosafety, Wuhan Institute of Virology, Center for Biosafety Mega-Science, Chinese Academy of Sciences, Wuhan, Hubei, China.",
40630398,"Perceptions of the safety, development, and approval process of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccines among individuals with Affordable Care Act health insurance in Central Texas at the time of initial vaccine availability.",2025,Carlos Lopez Bray; Naomi Tamez; Wesley Durkalski; John R Litaker,"Office of Population Health, Sendero Health Plans, Inc., Austin, TX, United States.; Office of Population Health, Sendero Health Plans, Inc., Austin, TX, United States.; Former Chief Executive Officer, Sendero Health Plans, Inc., Austin, TX, United States.; Office of Population Health and Science, The Litaker Group, LLC, Austin, TX, United States.",
40628904,Global pneumococcal sequence cluster lineage for invasive pneumococcal isolates in Denmark from summer 2019 to 2023.,2025,Thor Bech Johannesen; Marc Stegger,"Department for Sequencing and Bioinformatics, Statens Serum Institut, Copenhagen, Denmark.; Department for Sequencing and Bioinformatics, Statens Serum Institut, Copenhagen, Denmark.",
40628697,In silico genomic surveillance by CoVerage predicts and characterizes SARS-CoV-2 variants of interest.,2025,Katrina Norwood; Zhi-Luo Deng; Susanne Reimering; Gary Robertson; Mohammad-Hadi Foroughmand-Araabi; Sama Goliaei; Frank Klawonn; Alice C McHardy,"Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Biostatistics, Helmholtz Centre for Infection Research, Braunschweig, Germany.; Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany. amc14@helmholtz-hzi.de.",amc14@helmholtz-hzi.de
40617588,Adaptive immune responses to SARS-CoV-2 in DMARD-treated patients with chronic inflammatory rheumatisms.,2025,Thomas Bruneau; Helene Péré,"Service de Microbiologie (Unité de virologie), Hôpital Européen Georges Pompidou, Paris, France.; Service de Microbiologie (Unité de virologie), Hôpital Européen Georges Pompidou, Paris, France.",
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025,Luis Giovani Oliveira Guardalini; Thaissa Consoni Bernardino; Jaci Leme; Henrique Coelho de Oliveira; Soraia Attie Calil Jorge,"Laboratório de Biotecnologia Viral, Instituto Butantan, Av. Vital Brasil, 1500, CEP 05503-900, São Paulo, SP-Brazil.; Laboratório de Biotecnologia Viral, Instituto Butantan, Av. Vital Brasil, 1500, CEP 05503-900, São Paulo, SP-Brazil.; Laboratório de Biotecnologia Viral, Instituto Butantan, Av. Vital Brasil, 1500, CEP 05503-900, São Paulo, SP-Brazil.; Eppendorf do Brasil Ltda. Rua Presidente Antônio Candido, 80, CEP 05083-060, São Paulo, SP-Brazil.; Laboratório de Biotecnologia Viral, Instituto Butantan, Av. Vital Brasil, 1500, CEP 05503-900, São Paulo, SP-Brazil. Electronic address: soraia.jorge@butantan.gov.br.",soraia.jorge@butantan.gov.br
40616520,Discovery of the Clinical Candidate <b>S-892216</b>: A Second-Generation of SARS-CoV-2 3CL Protease Inhibitor for Treating COVID-19.,2025,Yuto Unoh; Keiichiro Hirai; Shota Uehara; Sho Kawashima; Haruaki Nobori; Jun Sato; Hiromitsu Shibayama; Akihiro Hori; Kenji Nakahara; Kana Kurahashi; Masayuki Takamatsu; Shiho Yamamoto; Qianhui Zhang; Miki Tanimura; Reiko Dodo; Yuki Maruyama; Ryosuke Watari; Tetsuya Miyano; Teruhisa Kato; Takafumi Sato; Yuki Tachibana,"Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.",
